song_id,appearance_count,canonical_title,current_zh,suggested_zh,zh_action,zh_confidence,zh_note,current_en,suggested_en,en_action,en_confidence,en_note,source_summary,source_urls
SONG-0336,36,愛の詩,愛の詩,爱之诗,TRANSLATE,medium,Established Chinese Vocaloid community usage.,Love Song,Love Song,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: English=Love Song, Romaji=Ai no Uta | Chinese community check: 爱之诗",https://vocaloid.fandom.com/wiki/%E6%84%9B%E3%81%AE%E8%A9%A9_%28Ai_no_Uta%29 | https://search.bilibili.com/all?keyword=%22%E6%84%9B%E3%81%AE%E8%A9%A9%22+%22%E7%88%B1%E4%B9%8B%E8%AF%97%22
SONG-0212,35,ジェミニ,ジェミニ,双子座,REVIEW,medium,Chinese Project DIVA community usage; original title Gemini is also widely retained.,Gemini,Gemini,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: Official English=Gemini, Romaji=Jemini | Chinese community check: 双子座",https://vocaloid.fandom.com/wiki/%E3%82%B8%E3%82%A7%E3%83%9F%E3%83%8B_%28Gemini%29 | https://search.bilibili.com/all?keyword=%22%E3%82%B8%E3%82%A7%E3%83%9F%E3%83%8B%22+%22%E5%8F%8C%E5%AD%90%E5%BA%A7%22
SONG-0265,35,ピアノ×フォルテ×スキャンダル,ピアノ×フォルテ×スキャンダル,ピアノ×フォルテ×スキャンダル,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Piano × Forte × Scandal,Piano × Forte × Scandal,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: ピアノ×フォルテ×スキャンダル/Piano × Forte × Scandal/ピアノ×フォルテ×スキャンダル | Vocaloid Wiki: English=Piano x Forte x Scandal, Romaji=Piano × Forute × Sukyandaru",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/%E3%83%94%E3%82%A2%E3%83%8E%C3%97%E3%83%95%E3%82%A9%E3%83%AB%E3%83%86%C3%97%E3%82%B9%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%80%E3%83%AB_%28Piano_%C3%97_Forte_%C3%97_Scandal%29
SONG-0312,35,ラストラス,ラストラス,ラストラス,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Lustrous,Lustrous,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: ラストラス/Lustrous/ラストラス | VocaDB: Japanese=ラストラス, English=Lustrous | Vocaloid Wiki: English=Lustrous, Romaji=Rasutorasu",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/789209 | https://vocaloid.fandom.com/wiki/%E3%83%A9%E3%82%B9%E3%83%88%E3%83%A9%E3%82%B9_%28Lustrous%29
SONG-0310,34,ゆめゆめ,ゆめゆめ,梦想,REVIEW,low,"Older Chinese community alias exists, but is generic and not uniquely identifying.",Dream Dream,Dream Dream,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: English=Dream Dream, Romaji=Yumeyume | Chinese community check: 梦想",https://vocaloid.fandom.com/wiki/%E3%82%86%E3%82%81%E3%82%86%E3%82%81_%28Yumeyume%29_%28single%29 | https://search.bilibili.com/all?keyword=%22%E3%82%86%E3%82%81%E3%82%86%E3%82%81%22+%22%E6%A2%A6%E6%83%B3%22
SONG-0217,33,すーぱーぬこになれんかった,すーぱーぬこになれんかった,没能成为超级猫咪,TRANSLATE,high,Repeated Bilibili/maimai/Magical Mirai community usage.,Wasn't able to become a Super Nuko.,Wasn't able to become a Super Nuko.,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=すーぱーぬこになれんかった, Romaji=Super Nuko ni Naren Katta, English=I Couldn't Become a Super Cat After All, Unspecified=Wasn't able to become a Super Nuko., Unspecified=슈퍼 누코가 되지 못했어 | Vocaloid Wiki: Official English=Wasn't able to become a Super Nuko., English=I Couldn't Become a Super Cat After All, Romaji=Suupaa Nuko ni Narenkatta | Chinese community check: 没能成为超级猫咪",https://vocadb.net/S/228773 | https://vocaloid.fandom.com/wiki/%E3%81%99%E3%83%BC%E3%81%B1%E3%83%BC%E3%81%AC%E3%81%93%E3%81%AB%E3%81%AA%E3%82%8C%E3%82%93%E3%81%8B%E3%81%A3%E3%81%9F_%28Super_Nuko_ni_Narenkatta%29 | https://www.bilibili.com/video/BV1Dz4y1E77G/ | https://search.bilibili.com/all?keyword=%22%E3%81%99%E3%83%BC%E3%81%B1%E3%83%BC%E3%81%AC%E3%81%93%E3%81%AB%E3%81%AA%E3%82%8C%E3%82%93%E3%81%8B%E3%81%A3%E3%81%9F%22+%22%E6%B2%A1%E8%83%BD%E6%88%90%E4%B8%BA%E8%B6%85%E7%BA%A7%E7%8C%AB%E5%92%AA%22
SONG-0294,31,みかぼし,みかぼし,みかぼし,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Star of Heaven,Star of Heaven,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: みかぼし/Star of Heaven/みかぼし | VocaDB: Japanese=みかぼし, Romaji=Mikaboshi, English=Star of Heaven | Vocaloid Wiki: Official English=Star of Heaven, Romaji=Mikaboshi",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/531972 | https://vocaloid.fandom.com/wiki/%E3%81%BF%E3%81%8B%E3%81%BC%E3%81%97_%28Mikaboshi%29
SONG-0305,31,メランコリック,メランコリック,忧郁的心情,TRANSLATE,medium,Long-running Bilibili tag/title usage for the Kagamine Rin song.,Melancholic,Melancholic,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: メランコリック/Melancholic/メランコリック | Vocaloid Wiki: Official English=Melancholic, Romaji=Merankorikku | Chinese community check: 忧郁的心情",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/%E3%83%A1%E3%83%A9%E3%83%B3%E3%82%B3%E3%83%AA%E3%83%83%E3%82%AF_%28Melancholic%29 | https://search.bilibili.com/all?keyword=%22%E3%83%A1%E3%83%A9%E3%83%B3%E3%82%B3%E3%83%AA%E3%83%83%E3%82%AF%22+%22%E5%BF%A7%E9%83%81%E7%9A%84%E5%BF%83%E6%83%85%22
SONG-0387,31,星屑ユートピア,星屑ユートピア,星屑乌托邦,TRANSLATE,medium,Chinese community alias; 星屑下的理想乡 is another attested variant.,Stardust Utopia,Stardust Utopia,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: 星屑ユートピア/Stardust Utopia/星屑ユートピア | Vocaloid Wiki: English=Stardust Utopia, Romaji=Hoshikuzu Utopia | Chinese community check: 星屑乌托邦",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/%E6%98%9F%E5%B1%91%E3%83%A6%E3%83%BC%E3%83%88%E3%83%94%E3%82%A2_%28Hoshikuzu_Utopia%29 | https://search.bilibili.com/all?keyword=%22%E6%98%9F%E5%B1%91%E3%83%A6%E3%83%BC%E3%83%88%E3%83%94%E3%82%A2%22+%22%E6%98%9F%E5%B1%91%E4%B9%8C%E6%89%98%E9%82%A6%22
SONG-0275,30,フェレス,フェレス,フェレス,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Pheles,Pheles,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: フェレス/Pheles/フェレス | VocaDB: Japanese=フェレス, English=Pheles, Unspecified=Feles, Unspecified=펠레스 | Vocaloid Wiki: English=Pheles, Romaji=Feresu",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/393333 | https://vocaloid.fandom.com/wiki/%E3%83%95%E3%82%A7%E3%83%AC%E3%82%B9_%28Pheles%29
SONG-0318,30,ラムネイドブルーの憧憬,ラムネイドブルーの憧憬,ラムネイドブルーの憧憬,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Ramnade blue longing,Ramnade blue longing,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=ラムネイドブルーの憧憬, English=Ramnade blue longing, Romaji=Ramunade Blue no Shoukei | Vocaloid Wiki: Official English=Ramnade blue longing, Romaji=Ramuneido Buruu no Shoukei",https://vocadb.net/S/169614 | https://vocaloid.fandom.com/wiki/%E3%83%A9%E3%83%A0%E3%83%8D%E3%82%A4%E3%83%89%E3%83%96%E3%83%AB%E3%83%BC%E3%81%AE%E6%86%A7%E6%86%AC_%28Ramunade_Blue_no_Shoukei%29
SONG-0385,29,星のカケラ,星のカケラ,星之碎片,TRANSLATE,high,Repeated Bilibili Hatsune Miku uploads use 星之碎片.,星のカケラ,Fragments of a Star,TRANSLATE,medium,Hatsune Miku references use Fragments of a Star / Star Fragments; this is the clearest recurring form.,Chinese community check: 星之碎片,https://search.bilibili.com/all?keyword=%22%E6%98%9F%E3%81%AE%E3%82%AB%E3%82%B1%E3%83%A9%22+%22%E6%98%9F%E4%B9%8B%E7%A2%8E%E7%89%87%22
SONG-0028,28,COME BACK~重返巅峰~ (COME BACK ~Chóng Fǎn Diānfēng~),COME BACK~重返巅峰~ (COME BACK ~Chóng Fǎn Diānfēng~),COME BACK~重返巅峰~ (COME BACK ~Chóng Fǎn Diānfēng~),CURRENT,high,Existing zh value is outside this audit gap.,COME BACK~重返巅峰~ (COME BACK ~Chóng Fǎn Diānfēng~),COME BACK ~Returning to the Peak~,TRANSLATE,high,Vocaloid Wiki marks this as Official English.,Vocaloid Wiki: Official English=COME BACK ~Returning to the Peak~,https://vocaloid.fandom.com/wiki/COME_BACK~%E9%87%8D%E8%BF%94%E5%B7%85%E5%B3%B0~_%28COME_BACK_~Ch%C3%B3ng_F%C7%8En_Di%C4%81nf%C4%93ng~%29
SONG-0354,28,月西江 (Yuè Xī Jiāng),月西江 (Yuè Xī Jiāng),月西江 (Yuè Xī Jiāng),CURRENT,high,Existing zh value is outside this audit gap.,月西江 (Yuè Xī Jiāng),Moon West River,TRANSLATE,high,Vocaloid Wiki marks this as Official English.,"Vocaloid Wiki: Official English=Moon West River, English=Moonlit Xi River, Romaji=Getsuseikou",https://vocaloid.fandom.com/wiki/%E6%9C%88%E8%A5%BF%E6%B1%9F_%28Yu%C3%A8_X%C4%AB_Ji%C4%81ng%29
SONG-0231,27,タイムマシン,タイムマシン,时光机,TRANSLATE,medium,Chinese Project DIVA/PJSK community usage.,Time Machine,Time Machine,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: タイムマシン/Time Machine/タイムマシン | Vocaloid Wiki: English=Time Machine, Romaji=Taimu Mashin | Chinese community check: 时光机",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/%E3%82%BF%E3%82%A4%E3%83%A0%E3%83%9E%E3%82%B7%E3%83%B3_%28Time_Machine%29 | https://search.bilibili.com/all?keyword=%22%E3%82%BF%E3%82%A4%E3%83%A0%E3%83%9E%E3%82%B7%E3%83%B3%22+%22%E6%97%B6%E5%85%89%E6%9C%BA%22
SONG-0168,26,いいねってYEAH!,いいねってYEAH!,いいねってYEAH!,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Good is YEAH!,Good is YEAH!,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=いいねってYEAH!, English=Good is YEAH!, Romaji=Ii ne tte YEAH! | Vocaloid Wiki: Official English=Good is YEAH!, Romaji=Ii Ne tte YEAH!",https://vocadb.net/S/415813 | https://vocaloid.fandom.com/wiki/%E3%81%84%E3%81%84%E3%81%AD%E3%81%A3%E3%81%A6YEAH%21_%28Ii_Ne_tte_YEAH%21%29
SONG-0188,26,カラフル×メロディ,カラフル×メロディ,多彩×旋律,TRANSLATE,medium,Bilibili Vocaloid cover/community title.,Colorful × Melody,Colorful × Melody,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: English=Colorful × Melody, Romaji=Karafuru × Merodi | Chinese community check: 多彩×旋律",https://vocaloid.fandom.com/wiki/%E3%82%AB%E3%83%A9%E3%83%95%E3%83%AB%C3%97%E3%83%A1%E3%83%AD%E3%83%87%E3%82%A3_%28Colorful_%C3%97_Melody%29_%28single%29 | https://search.bilibili.com/all?keyword=%22%E3%82%AB%E3%83%A9%E3%83%95%E3%83%AB%C3%97%E3%83%A1%E3%83%AD%E3%83%87%E3%82%A3%22+%22%E5%A4%9A%E5%BD%A9%C3%97%E6%97%8B%E5%BE%8B%22
SONG-0256,26,ノヴァ,ノヴァ,ノヴァ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,NOVA,NOVA,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=ノヴァ, English=Nova | Vocaloid Wiki: Official English=NOVA",https://vocadb.net/S/360978 | https://vocaloid.fandom.com/wiki/%E3%83%8E%E3%83%B4%E3%82%A1_%28Nova%29
SONG-0162,25,アンテナ39,アンテナ39,アンテナ39,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Antenna 39,Antenna 39,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: アンテナ39/Antenna 39/アンテナ39 | VocaDB: Japanese=アンテナ39, English=Antenna 39, Unspecified=안테나 39 | Vocaloid Wiki: Official English=Antenna 39, Romaji=Antena 39",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/630460 | https://vocaloid.fandom.com/wiki/%E3%82%A2%E3%83%B3%E3%83%86%E3%83%8A39_%28Antenna_39%29
SONG-0269,25,ビバハピ,ビバハピ,ビバハピ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Viva Happy,Viva Happy,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: ビバハピ/Viva Happy/ビバハピ | VocaDB: Japanese=ビバハピ, English=Viva Happy | Vocaloid Wiki: Official English=Viva Happy, English=Live Happy, Romaji=Biba Hapi",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/35603 | https://vocaloid.fandom.com/wiki/%E3%83%93%E3%83%90%E3%83%8F%E3%83%94_%28Viva_Happy%29
SONG-0429,25,陽だまりのセツナ,陽だまりのセツナ,陽だまりのセツナ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Hidamari no Setsuna,Hidamari no Setsuna,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: 陽だまりのセツナ/Hidamari no Setsuna/陽だまりのセツナ | VocaDB: Japanese=陽だまりのセツナ, Romaji=Hidamari no Setsuna, English=A moment in the sun, Unspecified=A Moment of Sunshine, Unspecified=양지의 찰나, Unspecified=햇살이 비추는 순간 | Vocaloid Wiki: Official English=A moment in the sun, Romaji=Hidamari no Setsuna",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/437831 | https://vocaloid.fandom.com/wiki/%E9%99%BD%E3%81%A0%E3%81%BE%E3%82%8A%E3%81%AE%E3%82%BB%E3%83%84%E3%83%8A_%28Hidamari_no_Setsuna%29
SONG-0386,24,星空クロノグラフ,星空クロノグラフ,星空クロノグラフ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Chronograph in the Starry Sky,Chronograph in the Starry Sky,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=星空クロノグラフ, English=Starry Sky Chronograph, Unspecified=Chronograph in the starry sky, Romaji=Hoshizora Chronograph | Vocaloid Wiki: Official English=Chronograph in the Starry Sky, English=Starry Sky Chronograph, Romaji=Hoshizora Kuronogurafu",https://vocadb.net/S/83820 | https://vocaloid.fandom.com/wiki/%E6%98%9F%E7%A9%BA%E3%82%AF%E3%83%AD%E3%83%8E%E3%82%B0%E3%83%A9%E3%83%95_%28Hoshizora_Chronograph%29
SONG-0277,23,フューチャー・イヴ,フューチャー・イヴ,フューチャー・イヴ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,FUTURE EVE,FUTURE EVE,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: フューチャー・イヴ/FUTURE EVE/フューチャー・イヴ | VocaDB: Japanese=フューチャー・イヴ, English=FUTURE EVE, Unspecified=퓨처 이브 | Vocaloid Wiki: Official English=FUTURE EVE, Romaji=Fyuuchaa Ivu",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/391129 | https://vocaloid.fandom.com/wiki/%E3%83%95%E3%83%A5%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B4_%28Future_Eve%29
SONG-0192,22,キミペディア,キミペディア,キミペディア,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,You-pedia,You-pedia,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: Japanese=キミペディア, Romaji=Kimipedia, English=Youpedia | Vocaloid Wiki: English=You-pedia, Romaji=Kimipedia",https://vocadb.net/S/176937 | https://vocaloid.fandom.com/wiki/%E3%82%AD%E3%83%9F%E3%83%9A%E3%83%87%E3%82%A3%E3%82%A2_%28Kimipedia%29
SONG-0403,22,独りんぼエンヴィー,独りんぼエンヴィー,孑然妒火,TRANSLATE,high,Very long-standing Bilibili community title; high-view original-song repost uses it.,Hitorinbo Envy,Hitorinbo Envy,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: 独りんぼエンヴィー/Hitorinbo Envy/独りんぼエンヴィー | Vocaloid Wiki: Official English=Solitary Envy, English=Solitary Hide & Seek Envy, Romaji=Hitorinbo Envii | Chinese community check: 孑然妒火",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/%E7%8B%AC%E3%82%8A%E3%82%93%E3%81%BC%E3%82%A8%E3%83%B3%E3%83%B4%E3%82%A3%E3%83%BC_%28Hitorinbo_Envy%29 | https://www.bilibili.com/list/ml3581730617 | https://search.bilibili.com/all?keyword=%22%E7%8B%AC%E3%82%8A%E3%82%93%E3%81%BC%E3%82%A8%E3%83%B3%E3%83%B4%E3%82%A3%E3%83%BC%22+%22%E5%AD%91%E7%84%B6%E5%A6%92%E7%81%AB%22
SONG-0254,21,ネクストネスト,ネクストネスト,ネクストネスト,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,NEXT NEST,NEXT NEST,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: ネクストネスト/NEXT NEST/ネクストネスト | VocaDB: Japanese=ネクストネスト, English=NEXT NEST, Unspecified=넥스트 네스트 | Vocaloid Wiki: English=Next Nest",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/59428 | https://vocaloid.fandom.com/wiki/%E3%83%8D%E3%82%AF%E3%82%B9%E3%83%88%E3%83%8D%E3%82%B9%E3%83%88_%28Next_Nest%29
